step,vehicle_count,mean_speed,total_fuel_ml_s,total_co2_mg_s,total_waiting_s,halting_count,departed_count,arrived_count,mean_fuel_per_veh,mean_co2_per_veh
255,38,11.4282,31615.8979,99122.7197,7.0,1,0,0,831.9973,2608.4926
256,38,11.815,39517.8923,123897.6962,0.0,0,0,0,1039.9445,3260.4657
257,38,11.7193,24170.1004,75778.5451,0.0,0,0,0,636.0553,1994.1722
258,38,11.1523,32047.4936,100476.3291,0.0,1,1,1,843.3551,2644.1139
259,38,11.0819,34546.441,108311.3543,0.0,0,0,0,909.1169,2850.2988
260,38,11.2158,33291.0881,104375.2277,0.0,0,0,0,876.0813,2746.7165
261,38,11.3012,35604.9067,111629.7587,1.0,1,0,0,936.9712,2937.6252
262,38,11.2299,29521.3634,92555.8805,3.0,2,0,0,776.878,2435.6811
263,38,11.22,31224.3759,97894.9717,5.0,2,0,0,821.6941,2576.1835
264,39,10.9285,32691.9267,102496.3974,7.0,3,1,0,838.2545,2628.1128
265,39,11.1213,32218.681,101012.6226,9.0,2,0,0,826.12,2590.0672
266,39,11.0033,28422.7088,89111.2027,11.0,2,0,0,728.7874,2284.9026
267,39,11.115,34267.9919,107437.8269,6.0,1,0,0,878.6665,2754.8161
268,39,11.0116,35072.895,109961.6278,7.0,1,0,0,899.305,2819.5289
269,38,10.8094,28942.7876,90742.4976,8.0,1,0,1,761.6523,2387.9605
270,39,10.9031,47540.5501,149050.5899,9.0,2,1,0,1218.9885,3821.81
271,39,10.6456,29005.6143,90939.2007,12.0,3,0,0,743.7337,2331.7744
272,39,10.2609,24543.2075,76948.0391,2.0,1,0,0,629.313,1973.0266
273,39,10.0901,29724.2827,93191.7763,3.0,1,0,0,762.1611,2389.5327
274,39,10.5013,38422.4083,120462.943,4.0,1,0,0,985.19,3088.7934
275,39,10.7813,39861.6397,124975.1088,5.0,1,0,0,1022.0933,3204.49
276,40,10.639,36733.1344,115166.699,6.0,2,1,0,918.3284,2879.1675
277,39,10.8393,39014.5636,122320.0077,7.0,1,0,1,1000.3734,3136.4105
278,39,11.0194,35002.0485,109739.5696,8.0,1,0,0,897.4884,2813.8351
279,39,11.3112,40118.9843,125782.6669,0.0,0,0,0,1028.6919,3225.1966
280,39,11.0599,24341.7952,76316.7891,0.0,0,0,0,624.1486,1956.8407
281,38,10.9244,35248.8747,110513.4713,0.0,0,0,1,927.602,2908.2492
282,39,10.6919,38446.4414,120538.2889,0.0,1,1,0,985.8062,3090.7254
283,39,10.7979,32565.1396,102098.5416,0.0,0,0,0,835.0036,2617.9113
284,39,10.5871,26087.1344,81788.835,0.0,0,0,0,668.9009,2097.1496
285,39,10.6314,34304.9831,107554.2308,0.0,0,0,0,879.615,2757.8008
286,39,10.8422,40995.4466,128530.4993,0.0,0,0,0,1051.1653,3295.6538
287,39,11.0276,35141.0863,110175.471,0.0,0,0,0,901.0535,2825.0121
288,40,10.6617,26890.861,84308.7968,0.0,1,1,0,672.2715,2107.7199
289,39,10.9008,34929.3378,109511.3078,0.0,0,0,1,895.624,2807.9823
